January - December 2014 California County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 126 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
CA-001,"Alameda County",62.0,126,4.1,57.9
CA-003,"Alpine County",46.8,126,3.5,43.3
CA-005,"Amador County",61.0,126,3.7,57.3
CA-007,"Butte County",62.4,126,3.6,58.8
CA-009,"Calaveras County",61.1,126,3.5,57.6
CA-011,"Colusa County",64.4,126,4.0,60.4
CA-013,"Contra Costa County",62.7,126,3.9,58.8
CA-015,"Del Norte County",54.9,126,4.1,50.8
CA-017,"El Dorado County",56.7,126,3.3,53.4
CA-019,"Fresno County",59.0,126,4.6,54.4
CA-021,"Glenn County",63.0,126,3.7,59.3
CA-023,"Humboldt County",56.7,126,3.8,52.9
CA-025,"Imperial County",76.5,126,4.3,72.2
CA-027,"Inyo County",63.6,126,4.0,59.6
CA-029,"Kern County",65.0,126,4.5,60.5
CA-031,"Kings County",67.2,126,4.7,62.5
CA-033,"Lake County",60.1,126,3.8,56.3
CA-035,"Lassen County",50.1,126,4.0,46.1
CA-037,"Los Angeles County",64.8,126,4.9,59.9
CA-039,"Madera County",59.3,126,4.2,55.1
CA-041,"Marin County",58.8,126,3.9,54.9
CA-043,"Mariposa County",58.4,126,3.8,54.6
CA-045,"Mendocino County",58.1,126,3.2,54.9
CA-047,"Merced County",65.1,126,4.1,61
CA-049,"Modoc County",49.7,125,4.2,45.5
CA-051,"Mono County",47.2,126,4.0,43.2
CA-053,"Monterey County",61.7,126,4.5,57.2
CA-055,"Napa County",62.0,126,3.8,58.2
CA-057,"Nevada County",55.0,126,3.3,51.7
CA-059,"Orange County",67.0,126,4.6,62.4
CA-061,"Placer County",56.4,126,3.4,53
CA-063,"Plumas County",50.2,126,3.5,46.7
CA-065,"Riverside County",70.8,126,4.0,66.8
CA-067,"Sacramento County",64.9,126,3.8,61.1
CA-069,"San Benito County",62.2,126,4.7,57.5
CA-071,"San Bernardino County",69.0,126,4.0,65
CA-073,"San Diego County",65.8,126,4.6,61.2
CA-075,"San Francisco County",59.8,126,4.1,55.7
CA-077,"San Joaquin County",64.5,126,3.7,60.8
CA-079,"San Luis Obispo County",62.7,126,4.7,58
CA-081,"San Mateo County",59.6,126,4.2,55.4
CA-083,"Santa Barbara County",61.8,126,5.2,56.6
CA-085,"Santa Clara County",61.0,126,4.1,56.9
CA-087,"Santa Cruz County",60.2,126,4.5,55.7
CA-089,"Shasta County",57.9,125,3.6,54.3
CA-091,"Sierra County",50.0,126,3.6,46.4
CA-093,"Siskiyou County",51.8,125,4.0,47.8
CA-095,"Solano County",63.5,126,3.8,59.7
CA-097,"Sonoma County",59.7,126,3.6,56.1
CA-099,"Stanislaus County",64.0,126,3.6,60.4
CA-101,"Sutter County",65.6,126,3.8,61.8
CA-103,"Tehama County",61.5,126,3.6,57.9
CA-105,"Trinity County",55.4,125,3.8,51.6
CA-107,"Tulare County",57.6,126,4.4,53.2
CA-109,"Tuolumne County",53.1,126,3.5,49.6
CA-111,"Ventura County",61.0,126,5.0,56
CA-113,"Yolo County",64.7,126,3.8,60.9
CA-115,"Yuba County",63.4,126,3.6,59.8
