January - December 2019 California County Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 126 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
CA-001,"Alameda County",49.3,115,2.2,47.1
CA-003,"Alpine County",32.5,82,0.8,31.7
CA-005,"Amador County",45.9,103,1.2,44.7
CA-007,"Butte County",48.3,114,1.7,46.6
CA-009,"Calaveras County",46.1,106,1.2,44.9
CA-011,"Colusa County",49.3,121,2.4,46.9
CA-013,"Contra Costa County",49.8,117,2.2,47.6
CA-015,"Del Norte County",42.7,105,1.3,41.4
CA-017,"El Dorado County",42.6,104,1.3,41.3
CA-019,"Fresno County",43.6,115,2.3,41.3
CA-021,"Glenn County",48.6,118,1.8,46.8
CA-023,"Humboldt County",44.3,103,0.9,43.4
CA-025,"Imperial County",60.0,105,1.9,58.1
CA-027,"Inyo County",47.9,97,1.5,46.4
CA-029,"Kern County",49.3,110,2.0,47.3
CA-031,"Kings County",51.1,111,2.2,48.9
CA-033,"Lake County",46.3,119,2.1,44.2
CA-035,"Lassen County",33.8,99,1.2,32.6
CA-037,"Los Angeles County",50.0,109,1.9,48.1
CA-039,"Madera County",43.8,111,2.1,41.7
CA-041,"Marin County",48.7,120,2.5,46.2
CA-043,"Mariposa County",42.4,100,1.1,41.3
CA-045,"Mendocino County",45.2,116,1.8,43.4
CA-047,"Merced County",51.0,122,2.6,48.4
CA-049,"Modoc County",33.8,104,1.5,32.3
CA-051,"Mono County",30.0,90,1.0,29
CA-053,"Monterey County",45.8,120,3.0,42.8
CA-055,"Napa County",47.8,117,2.5,45.3
CA-057,"Nevada County",40.3,84,0.6,39.7
CA-059,"Orange County",54.1,112,2.3,51.8
CA-061,"Placer County",41.9,93,1.0,40.9
CA-063,"Plumas County",34.8,91,0.9,33.9
CA-065,"Riverside County",55.6,111,1.9,53.7
CA-067,"Sacramento County",50.2,121,1.9,48.3
CA-069,"San Benito County",46.7,114,2.5,44.2
CA-071,"San Bernardino County",53.7,89,1.0,52.7
CA-073,"San Diego County",50.1,108,1.8,48.3
CA-075,"San Francisco County",50.4,118,2.5,47.9
CA-077,"San Joaquin County",50.1,116,1.9,48.2
CA-079,"San Luis Obispo County",46.4,115,2.1,44.3
CA-081,"San Mateo County",48.9,123,3.2,45.7
CA-083,"Santa Barbara County",46.9,113,2.1,44.8
CA-085,"Santa Clara County",47.7,113,2.5,45.2
CA-087,"Santa Cruz County",47.4,119,3.3,44.1
CA-089,"Shasta County",43.0,109,1.0,42
CA-091,"Sierra County",34.9,97,1.1,33.8
CA-093,"Siskiyou County",37.5,107,1.1,36.4
CA-095,"Solano County",49.7,118,2.4,47.3
CA-097,"Sonoma County",47.1,119,2.4,44.7
CA-099,"Stanislaus County",50.0,121,2.1,47.9
CA-101,"Sutter County",50.6,117,1.9,48.7
CA-103,"Tehama County",47.4,113,1.1,46.3
CA-105,"Trinity County",40.6,103,0.9,39.7
CA-107,"Tulare County",42.6,110,2.1,40.5
CA-109,"Tuolumne County",38.0,93,0.8,37.2
CA-111,"Ventura County",46.3,116,2.6,43.7
CA-113,"Yolo County",49.6,116,2.1,47.5
CA-115,"Yuba County",48.8,102,1.3,47.5
