January - December 2014 California County Precipitation
Units: Inches
Missing: -99,Rank out of 126 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
CA-001,"Alameda County",19.88,77,1.13,18.75
CA-003,"Alpine County",29.38,31,-6.76,36.14
CA-005,"Amador County",31.29,50,-3.94,35.23
CA-007,"Butte County",43.72,62,-0.69,44.41
CA-009,"Calaveras County",29.56,48,-4.71,34.27
CA-011,"Colusa County",28.67,103,6.67,22
CA-013,"Contra Costa County",21.07,85,2.58,18.49
CA-015,"Del Norte County",67.16,35,-12.83,79.99
CA-017,"El Dorado County",39.91,51,-4.73,44.64
CA-019,"Fresno County",12.44,16,-7.16,19.6
CA-021,"Glenn County",31.68,97,5.8,25.88
CA-023,"Humboldt County",54.59,45,-8.8,63.39
CA-025,"Imperial County",2.06,30,-1.32,3.38
CA-027,"Inyo County",4.68,42,-1.56,6.24
CA-029,"Kern County",6.17,29,-2.88,9.05
CA-031,"Kings County",6.15,43,-1.46,7.61
CA-033,"Lake County",48.5,84,5.04,43.46
CA-035,"Lassen County",20.3,72,-0.1,20.4
CA-037,"Los Angeles County",10.32,34,-5.24,15.56
CA-039,"Madera County",13.96,11,-9.16,23.12
CA-041,"Marin County",40.24,85,4.76,35.48
CA-043,"Mariposa County",19.44,10,-13.37,32.81
CA-045,"Mendocino County",55.43,78,3.82,51.61
CA-047,"Merced County",10.12,57,-1.15,11.27
CA-049,"Modoc County",18.21,72,0.14,18.07
CA-051,"Mono County",10.68,17,-4.95,15.63
CA-053,"Monterey County",19.93,69,-0.17,20.1
CA-055,"Napa County",33.28,79,2.18,31.1
CA-057,"Nevada County",48.42,65,-1.95,50.37
CA-059,"Orange County",7.63,18,-5.92,13.55
CA-061,"Placer County",42.03,57,-3.74,45.77
CA-063,"Plumas County",39.05,61,-2.16,41.21
CA-065,"Riverside County",5.23,28,-3.26,8.49
CA-067,"Sacramento County",18.89,69,0.2,18.69
CA-069,"San Benito County",15.71,59,-1.03,16.74
CA-071,"San Bernardino County",4.82,33,-2.04,6.86
CA-073,"San Diego County",8.07,13,-6.22,14.29
CA-075,"San Francisco County",28.74,91,4.44,24.3
CA-077,"San Joaquin County",14.4,72,0.35,14.05
CA-079,"San Luis Obispo County",12.18,30,-4.98,17.16
CA-081,"San Mateo County",28.55,71,-0.11,28.66
CA-083,"Santa Barbara County",13.21,37,-5.63,18.84
CA-085,"Santa Clara County",24.39,79,1.28,23.11
CA-087,"Santa Cruz County",33.51,70,0.46,33.05
CA-089,"Shasta County",44.52,80,2.58,41.94
CA-091,"Sierra County",41.88,57,-3.87,45.75
CA-093,"Siskiyou County",36.62,60,-2.19,38.81
CA-095,"Solano County",22.04,80,2.25,19.79
CA-097,"Sonoma County",44.19,76,2.17,42.02
CA-099,"Stanislaus County",14.42,77,0.77,13.65
CA-101,"Sutter County",20.03,74,1.05,18.98
CA-103,"Tehama County",42.34,93,5.83,36.51
CA-105,"Trinity County",55.3,64,-2.19,57.49
CA-107,"Tulare County",14.47,21,-7.37,21.84
CA-109,"Tuolumne County",30.42,29,-10.42,40.84
CA-111,"Ventura County",14.86,41,-5.55,20.41
CA-113,"Yolo County",21.62,80,1.61,20.01
CA-115,"Yuba County",38.61,72,0.88,37.73
