Measurement ID,Year,Location ID,Location,Value
2013-CA-001,2013,CA-001,Alameda,5.08
2013-CA-003,2013,CA-003,Alpine,13.55
2013-CA-005,2013,CA-005,Amador,12.25
2013-CA-007,2013,CA-007,Butte,12.19
2013-CA-009,2013,CA-009,Calaveras,11.14
2013-CA-011,2013,CA-011,Colusa,8.22
2013-CA-013,2013,CA-013,Contra Costa,5.27
2013-CA-015,2013,CA-015,Del Norte,35
2013-CA-017,2013,CA-017,El Dorado,16.06
2013-CA-019,2013,CA-019,Fresno,5.29
2013-CA-021,2013,CA-021,Glenn,7.59
2013-CA-023,2013,CA-023,Humboldt,21.3
2013-CA-025,2013,CA-025,Imperial,3.6
2013-CA-027,2013,CA-027,Inyo,3.52
2013-CA-029,2013,CA-029,Kern,3.6
2013-CA-031,2013,CA-031,Kings,2.37
2013-CA-033,2013,CA-033,Lake,12.35
2013-CA-035,2013,CA-035,Lassen,8.55
2013-CA-037,2013,CA-037,Los Angeles,4.95
2013-CA-039,2013,CA-039,Madera,6.64
2013-CA-041,2013,CA-041,Marin,8.4
2013-CA-043,2013,CA-043,Mariposa,9.39
2013-CA-045,2013,CA-045,Mendocino,15.5
2013-CA-047,2013,CA-047,Merced,3.5
2013-CA-049,2013,CA-049,Modoc,10.81
2013-CA-051,2013,CA-051,Mono,6.08
2013-CA-053,2013,CA-053,Monterey,4.18
2013-CA-055,2013,CA-055,Napa,6.72
2013-CA-057,2013,CA-057,Nevada,15.56
2013-CA-059,2013,CA-059,Orange,4.21
2013-CA-061,2013,CA-061,Placer,14.6
2013-CA-063,2013,CA-063,Plumas,12.06
2013-CA-065,2013,CA-065,Riverside,4.87
2013-CA-067,2013,CA-067,Sacramento,6.41
2013-CA-069,2013,CA-069,San Benito,3.53
2013-CA-071,2013,CA-071,San Bernardino,4.37
2013-CA-073,2013,CA-073,San Diego,7.86
2013-CA-075,2013,CA-075,San Francisco,6.21
2013-CA-077,2013,CA-077,San Joaquin,5.06
2013-CA-079,2013,CA-079,San Luis Obispo,3.12
2013-CA-081,2013,CA-081,San Mateo,6.19
2013-CA-083,2013,CA-083,Santa Barbara,3.94
2013-CA-085,2013,CA-085,Santa Clara,5.12
2013-CA-087,2013,CA-087,Santa Cruz,6.07
2013-CA-089,2013,CA-089,Shasta,14.77
2013-CA-091,2013,CA-091,Sierra,13.57
2013-CA-093,2013,CA-093,Siskiyou,16.12
2013-CA-095,2013,CA-095,Solano,5.1
2013-CA-097,2013,CA-097,Sonoma,10.12
2013-CA-099,2013,CA-099,Stanislaus,4.37
2013-CA-101,2013,CA-101,Sutter,6.57
2013-CA-103,2013,CA-103,Tehama,11.42
2013-CA-105,2013,CA-105,Trinity,19.11
2013-CA-107,2013,CA-107,Tulare,6.87
2013-CA-109,2013,CA-109,Tuolumne,12.64
2013-CA-111,2013,CA-111,Ventura,4.93
2013-CA-113,2013,CA-113,Yolo,5.79
2013-CA-115,2013,CA-115,Yuba,11.15
2014-CA-001,2014,CA-001,Alameda,19.88
2014-CA-003,2014,CA-003,Alpine,29.38
2014-CA-005,2014,CA-005,Amador,31.29
2014-CA-007,2014,CA-007,Butte,43.72
2014-CA-009,2014,CA-009,Calaveras,29.56
2014-CA-011,2014,CA-011,Colusa,28.67
2014-CA-013,2014,CA-013,Contra Costa,21.07
2014-CA-015,2014,CA-015,Del Norte,67.16
2014-CA-017,2014,CA-017,El Dorado,39.91
2014-CA-019,2014,CA-019,Fresno,12.44
2014-CA-021,2014,CA-021,Glenn,31.68
2014-CA-023,2014,CA-023,Humboldt,54.59
2014-CA-025,2014,CA-025,Imperial,2.06
2014-CA-027,2014,CA-027,Inyo,4.68
2014-CA-029,2014,CA-029,Kern,6.17
2014-CA-031,2014,CA-031,Kings,6.15
2014-CA-033,2014,CA-033,Lake,48.5
2014-CA-035,2014,CA-035,Lassen,20.3
2014-CA-037,2014,CA-037,Los Angeles,10.32
2014-CA-039,2014,CA-039,Madera,13.96
2014-CA-041,2014,CA-041,Marin,40.24
2014-CA-043,2014,CA-043,Mariposa,19.44
2014-CA-045,2014,CA-045,Mendocino,55.43
2014-CA-047,2014,CA-047,Merced,10.12
2014-CA-049,2014,CA-049,Modoc,18.21
2014-CA-051,2014,CA-051,Mono,10.68
2014-CA-053,2014,CA-053,Monterey,19.93
2014-CA-055,2014,CA-055,Napa,33.28
2014-CA-057,2014,CA-057,Nevada,48.42
2014-CA-059,2014,CA-059,Orange,7.63
2014-CA-061,2014,CA-061,Placer,42.03
2014-CA-063,2014,CA-063,Plumas,39.05
2014-CA-065,2014,CA-065,Riverside,5.23
2014-CA-067,2014,CA-067,Sacramento,18.89
2014-CA-069,2014,CA-069,San Benito,15.71
2014-CA-071,2014,CA-071,San Bernardino,4.82
2014-CA-073,2014,CA-073,San Diego,8.07
2014-CA-075,2014,CA-075,San Francisco,28.74
