Measurement ID,Year,Location ID,Location,Min Temp,Max Temp,Avg Temp
2013-CA-001,2013,CA-001,Alameda,48.2,70.8,59.5
2013-CA-003,2013,CA-003,Alpine,32.6,56.6,44.6
2013-CA-005,2013,CA-005,Amador,46.2,72.1,59.1
2013-CA-007,2013,CA-007,Butte,46.8,74.1,60.4
2013-CA-009,2013,CA-009,Calaveras,45.9,72.7,59.3
2013-CA-011,2013,CA-011,Colusa,47.5,76.7,62.1
2013-CA-013,2013,CA-013,Contra Costa,48.9,72.5,60.7
2013-CA-015,2013,CA-015,Del Norte,41.7,64,52.9
2013-CA-017,2013,CA-017,El Dorado,42.7,67.2,54.9
2013-CA-019,2013,CA-019,Fresno,43.4,70.1,56.7
2013-CA-021,2013,CA-021,Glenn,46.9,75,61
2013-CA-023,2013,CA-023,Humboldt,42.9,65.5,54.1
2013-CA-025,2013,CA-025,Imperial,60.5,88.3,74.4
2013-CA-027,2013,CA-027,Inyo,48.6,75,61.8
2013-CA-029,2013,CA-029,Kern,49.4,76.3,62.9
2013-CA-031,2013,CA-031,Kings,50.4,78.5,64.5
2013-CA-033,2013,CA-033,Lake,44.8,71.6,58.2
2013-CA-035,2013,CA-035,Lassen,32.8,61.8,47.3
2013-CA-037,2013,CA-037,Los Angeles,50.5,75,62.8
2013-CA-039,2013,CA-039,Madera,43.4,70.9,57.2
2013-CA-041,2013,CA-041,Marin,46.3,66.3,56.3
2013-CA-043,2013,CA-043,Mariposa,42.8,69.8,56.3
2013-CA-045,2013,CA-045,Mendocino,43.2,68.7,56
2013-CA-047,2013,CA-047,Merced,49.4,76.6,63
2013-CA-049,2013,CA-049,Modoc,32.4,61.1,46.8
2013-CA-051,2013,CA-051,Mono,30.7,59.8,45.2
2013-CA-053,2013,CA-053,Monterey,44.2,74.1,59.1
2013-CA-055,2013,CA-055,Napa,46.1,74.1,60.1
2013-CA-057,2013,CA-057,Nevada,40.3,66.1,53.2
2013-CA-059,2013,CA-059,Orange,54,74.6,64.3
2013-CA-061,2013,CA-061,Placer,41.7,67.5,54.6
2013-CA-063,2013,CA-063,Plumas,33.8,61.9,47.9
2013-CA-065,2013,CA-065,Riverside,55.6,82.1,68.9
2013-CA-067,2013,CA-067,Sacramento,48.5,76.8,62.7
2013-CA-069,2013,CA-069,San Benito,46.1,73.4,59.7
2013-CA-071,2013,CA-071,San Bernardino,54.3,79.7,67
2013-CA-073,2013,CA-073,San Diego,50.1,76.7,63.4
2013-CA-075,2013,CA-075,San Francisco,48.7,65.6,57.1
2013-CA-077,2013,CA-077,San Joaquin,48.1,76.2,62.2
2013-CA-079,2013,CA-079,San Luis Obispo,46,75.3,60.6
2013-CA-081,2013,CA-081,San Mateo,46.9,67.5,57.2
2013-CA-083,2013,CA-083,Santa Barbara,46.2,71.8,59
2013-CA-085,2013,CA-085,Santa Clara,46.8,71,58.9
2013-CA-087,2013,CA-087,Santa Cruz,45.3,70.6,58
2013-CA-089,2013,CA-089,Shasta,42.5,69.9,56.2
2013-CA-091,2013,CA-091,Sierra,34.3,61.4,47.8
2013-CA-093,2013,CA-093,Siskiyou,36.8,62.7,49.8
2013-CA-095,2013,CA-095,Solano,47.8,75.2,61.5
2013-CA-097,2013,CA-097,Sonoma,44.8,70.2,57.5
2013-CA-099,2013,CA-099,Stanislaus,48,75.8,61.9
2013-CA-101,2013,CA-101,Sutter,49.2,77.8,63.5
2013-CA-103,2013,CA-103,Tehama,46.7,73.1,59.9
2013-CA-105,2013,CA-105,Trinity,39.7,67.1,53.4
2013-CA-107,2013,CA-107,Tulare,42.8,68.3,55.6
2013-CA-109,2013,CA-109,Tuolumne,37.9,64,51
2013-CA-111,2013,CA-111,Ventura,46.1,72.6,59.3
2013-CA-113,2013,CA-113,Yolo,47.8,77.1,62.5
2013-CA-115,2013,CA-115,Yuba,48,75.1,61.5
2014-CA-001,2014,CA-001,Alameda,51.1,72.8,62
2014-CA-003,2014,CA-003,Alpine,35.4,58.2,46.8
2014-CA-005,2014,CA-005,Amador,48.6,73.3,61
2014-CA-007,2014,CA-007,Butte,50,74.9,62.4
2014-CA-009,2014,CA-009,Calaveras,48.3,74,61.1
2014-CA-011,2014,CA-011,Colusa,50.7,78,64.4
2014-CA-013,2014,CA-013,Contra Costa,51.4,74,62.7
2014-CA-015,2014,CA-015,Del Norte,44.9,64.9,54.9
2014-CA-017,2014,CA-017,El Dorado,45.1,68.2,56.7
2014-CA-019,2014,CA-019,Fresno,46,72,59
2014-CA-021,2014,CA-021,Glenn,49.9,76,63
2014-CA-023,2014,CA-023,Humboldt,46.2,67.2,56.7
2014-CA-025,2014,CA-025,Imperial,63,90,76.5
2014-CA-027,2014,CA-027,Inyo,50.3,76.8,63.6
2014-CA-029,2014,CA-029,Kern,51.6,78.3,65
2014-CA-031,2014,CA-031,Kings,53.4,81,67.2
2014-CA-033,2014,CA-033,Lake,47.8,72.3,60.1
2014-CA-035,2014,CA-035,Lassen,36.7,63.5,50.1
2014-CA-037,2014,CA-037,Los Angeles,52.6,77,64.8
2014-CA-039,2014,CA-039,Madera,46,72.6,59.3
2014-CA-041,2014,CA-041,Marin,50,67.5,58.8
2014-CA-043,2014,CA-043,Mariposa,45.2,71.5,58.4
2014-CA-045,2014,CA-045,Mendocino,46.5,69.6,58.1
2014-CA-047,2014,CA-047,Merced,52.1,78.2,65.1
2014-CA-049,2014,CA-049,Modoc,36.4,63,49.7
2014-CA-051,2014,CA-051,Mono,33.1,61.3,47.2
2014-CA-053,2014,CA-053,Monterey,47.5,75.8,61.7
2014-CA-055,2014,CA-055,Napa,49,75,62
2014-CA-057,2014,CA-057,Nevada,42.9,67.1,55
2014-CA-059,2014,CA-059,Orange,56.6,77.3,67
2014-CA-061,2014,CA-061,Placer,44.3,68.6,56.4
2014-CA-063,2014,CA-063,Plumas,37,63.5,50.2
2014-CA-065,2014,CA-065,Riverside,57.6,83.9,70.8
2014-CA-067,2014,CA-067,Sacramento,51.6,78.2,64.9
2014-CA-069,2014,CA-069,San Benito,49.1,75.2,62.2
2014-CA-071,2014,CA-071,San Bernardino,56.4,81.7,69
2014-CA-073,2014,CA-073,San Diego,52.8,79,65.8
2014-CA-075,2014,CA-075,San Francisco,52,67.6,59.8
2014-CA-077,2014,CA-077,San Joaquin,51.1,77.8,64.5
2014-CA-079,2014,CA-079,San Luis Obispo,48.7,76.7,62.7
2014-CA-081,2014,CA-081,San Mateo,50.1,69.1,59.6
2014-CA-083,2014,CA-083,Santa Barbara,49,74.6,61.8
2014-CA-085,2014,CA-085,Santa Clara,49.3,72.7,61
2014-CA-087,2014,CA-087,Santa Cruz,48.6,71.7,60.2
2014-CA-089,2014,CA-089,Shasta,45,70.8,57.9
2014-CA-091,2014,CA-091,Sierra,37.2,62.7,50
2014-CA-093,2014,CA-093,Siskiyou,39.8,63.8,51.8
2014-CA-095,2014,CA-095,Solano,51,76.1,63.5
2014-CA-097,2014,CA-097,Sonoma,48.3,71.1,59.7
2014-CA-099,2014,CA-099,Stanislaus,50.9,77.1,64
2014-CA-101,2014,CA-101,Sutter,52.2,79.1,65.6
2014-CA-103,2014,CA-103,Tehama,49.3,73.6,61.5
2014-CA-105,2014,CA-105,Trinity,42.7,68,55.4
2014-CA-107,2014,CA-107,Tulare,45,70.1,57.6
2014-CA-109,2014,CA-109,Tuolumne,40.8,65.4,53.1
2014-CA-111,2014,CA-111,Ventura,47.8,74.2,61
2014-CA-113,2014,CA-113,Yolo,51,78.4,64.7
2014-CA-115,2014,CA-115,Yuba,50.8,75.9,63.4
2015-CA-001,2015,CA-001,Alameda,50.2,71.9,61
2015-CA-003,2015,CA-003,Alpine,35.1,57.5,46.3
2015-CA-005,2015,CA-005,Amador,47.8,72.9,60.4
2015-CA-007,2015,CA-007,Butte,49,74.8,62
2015-CA-009,2015,CA-009,Calaveras,47.8,73.5,60.6
2015-CA-011,2015,CA-011,Colusa,50,77.8,63.9
