AcresBurned,Location ID,Location,MeasurementID,CountyIds,Latitude,Longitude,Month,Year
257314,CA-109,Tuolumne,2013-CA-109,55,37.857,-120.086,8,2013
30274,CA-037,Los Angeles,2013-CA-037,19,34.585595,-118.423176,5,2013
27531,CA-065,Riverside,2013-CA-065,33,33.7095,-116.72885,7,2013
27440,CA-061,Placer,2013-CA-061,31,39.12,-120.65,8,2013
24251,CA-111,Ventura,2013-CA-111,56,0,0,5,2013
22992,CA-019,Fresno,2013-CA-019,10,37.279,-119.318,7,2013
20292,CA-065,Riverside,2013-CA-065,33,33.86157,-116.90427,8,2013
14754,CA-093,Siskiyou,2013-CA-093,47,41.32,-123.176,7,2013
12503,CA-023,Humboldt,2013-CA-023,12,41.035,-123.488,8,2013
11429,CA-103,Tehama,2013-CA-103,52,40.04263,-121.85397,8,2013
8073,CA-089,Shasta,2013-CA-089,45,40.498332,-122.535496,9,2013
7055,CA-073,San Diego,2013-CA-073,37,32.95435,-116.47381,7,2013
6965,CA-103,Tehama,2013-CA-103,52,40.190062,-121.595555,5,2013
4346,CA-029,Kern,2013-CA-029,"15,56",34.7861,-118.9411,5,2013
4346,CA-111,Ventura,2013-CA-111,"15,56",34.7861,-118.9411,5,2013
3505,CA-097,Sonoma,2013-CA-097,49,38.8167,-122.8498,11,2013
3166,CA-065,Riverside,2013-CA-065,33,34.288877,-116.941311,5,2013
3111,CA-013,Contra Costa,2013-CA-013,7,37.90757,-121.882582,9,2013
2781,CA-073,San Diego,2013-CA-073,37,33.12111,-116.52579,5,2013
2462,CA-007,Butte,2013-CA-007,4,39.446268,-121.38236,8,2013
2236,CA-073,San Diego,2013-CA-073,37,33.341,-117.3092,10,2013
2060,CA-107,Tulare,2013-CA-107,54,36.208,-118.444,8,2013
1984,CA-083,Santa Barbara,2013-CA-083,42,34.55048,-119.82429,5,2013
1708,CA-043,Mariposa,2013-CA-043,22,37.58202,-119.91071,6,2013
1383,CA-065,Riverside,2013-CA-065,"33,",33.62236,-117.40288,8,2013
1271,CA-073,San Diego,2013-CA-073,37,33.04458,-116.5209,5,2013
1070,CA-109,Tuolumne,2013-CA-109,55,38.25108,-120.02778,8,2013
917,CA-053,Monterey,2013-CA-053,27,0,0,12,2013
794,CA-029,Kern,2013-CA-029,15,35.707,-118.588,8,2013
712,CA-029,Kern,2013-CA-029,15,34.882,-118.9194,7,2013
712,CA-037,Los Angeles,2013-CA-037,19,34.49149,-118.610044,5,2013
612,CA-029,Kern,2013-CA-029,15,34.90327,-118.93388,7,2013
572,CA-017,El Dorado,2013-CA-017,9,38.774,-120.298,7,2013
534,CA-071,San Bernardino,2013-CA-071,36,34.071556,-117.048397,6,2013
513,CA-063,Plumas,2013-CA-063,32,40.00842,-120.764666,8,2013
510,CA-065,Riverside,2013-CA-065,33,33.894055,-116.855019,5,2013
502,CA-049,Modoc,2013-CA-049,25,41.2415,-121.035,7,2013
500,CA-079,San Luis Obispo,2013-CA-079,40,35.15832,-120.05131,6,2013
492,CA-013,Contra Costa,2013-CA-013,7,37.96866,-121.91453,7,2013
482,CA-039,Madera,2013-CA-039,20,37.015575,-119.78106,6,2013
413,CA-071,San Bernardino,2013-CA-071,36,34.302,-117.598,8,2013
406,CA-027,Inyo,2013-CA-027,14,36.602575,-118.01651,2,2013
376,CA-055,Napa,2013-CA-055,28,38.628,-122.289,10,2013
354,CA-069,San Benito,2013-CA-069,35,37.160346,-120.937494,5,2013
311,CA-065,Riverside,2013-CA-065,33,0,0,2,2013
305,CA-007,Butte,2013-CA-007,4,39.439,-121.497,10,2013
303,CA-077,San Joaquin,2013-CA-077,39,38.04993,-120.90325,5,2013
298,CA-007,Butte,2013-CA-007,4,39.434183,-121.576804,6,2013
296,CA-033,Lake,2013-CA-033,17,0,0,1,2013
274,CA-013,Contra Costa,2013-CA-013,7,39.90465,-121.74367,7,2013
274,CA-039,Madera,2013-CA-039,20,37.116295,-119.635004,4,2013
268,CA-037,Los Angeles,2013-CA-037,19,34.149,-117.908,9,2013
263,CA-073,San Diego,2013-CA-073,37,32.710918,-116.746023,9,2013
243,CA-071,San Bernardino,2013-CA-071,36,34.35,-117.62,8,2013
240,CA-001,Alameda,2013-CA-001,1,37.775057,-121.737213,6,2013
237,CA-061,Placer,2013-CA-061,31,38.729297,-121.380862,6,2013
226,CA-021,Glenn,2013-CA-021,11,0,0,6,2013
217,CA-021,Glenn,2013-CA-021,11,39.514139,-122.560862,5,2013
213,CA-053,Monterey,2013-CA-053,27,0,0,7,2013
200,CA-071,San Bernardino,2013-CA-071,36,34.2,-117.417,9,2013
200,CA-103,Tehama,2013-CA-103,52,40.012398,-122.079871,7,2013
196,CA-089,Shasta,2013-CA-089,45,40.5445,-121.3754,8,2013
195,CA-103,Tehama,2013-CA-103,52,39.961309,-122.330879,7,2013
190,CA-055,Napa,2013-CA-055,28,38.382,-122.311,11,2013
170,CA-083,Santa Barbara,2013-CA-083,42,34.611824,-120.074655,5,2013
163,CA-113,Yolo,2013-CA-113,57,38.67479,-122.08725,11,2013
163,CA-017,El Dorado,2013-CA-017,"9,34",38.63987,-121.08438,7,2013
163,CA-067,Sacramento,2013-CA-067,"9,34",38.63987,-121.08438,7,2013
159,CA-097,Sonoma,2013-CA-097,49,38.34599,-122.6503,10,2013
158,CA-097,Sonoma,2013-CA-097,49,38.17693,-122.51253,7,2013
150,CA-001,Alameda,2013-CA-001,1,0,0,10,2013
150,CA-065,Riverside,2013-CA-065,33,33.990128,-117.164997,7,2013
150,CA-099,Stanislaus,2013-CA-099,50,37.436,-121.1955,7,2013
150,CA-019,Fresno,2013-CA-019,10,36.7218,-119.2248,6,2013
150,CA-007,Butte,2013-CA-007,4,0,0,5,2013
149,CA-037,Los Angeles,2013-CA-037,19,34.419284,-118.58688,5,2013
134,CA-107,Tulare,2013-CA-107,54,36.258,-118.459,9,2013
125,CA-097,Sonoma,2013-CA-097,49,38.638828,-122.655616,5,2013
124,CA-095,Solano,2013-CA-095,48,38.08744,-122.13802,6,2013
124,CA-047,Merced,2013-CA-047,24,37.03776,-121.006939,6,2013
124,CA-065,Riverside,2013-CA-065,33,33.963591,-117.187934,5,2013
120,CA-033,Lake,2013-CA-033,17,38.882214,-122.567525,11,2013
116,CA-017,El Dorado,2013-CA-017,9,38.682378,-120.839075,8,2013
110,CA-071,San Bernardino,2013-CA-071,36,34.287,-117.451,8,2013
108,CA-019,Fresno,2013-CA-019,10,36.772425,-119.628389,6,2013
105,CA-053,Monterey,2013-CA-053,27,36.1531,-120.8973,6,2013
100,CA-037,Los Angeles,2013-CA-037,19,0,0,8,2013
100,CA-109,Tuolumne,2013-CA-109,55,37.91529,-120.33313,6,2013
