MeasurementID,AcresBurned,LocationID,Latitude,Longitude,Month,Year,Location
1969-12-CA-041-45,45,CA-041,38.07135,-122.76751,12,1969,Marin
1969-12-CA-047-12,12,CA-047,37.21812,-121.07761,12,1969,Merced
2013-10-CA-007-305,305,CA-007,39.439,-121.497,10,2013,Butte
2013-10-CA-055-376,376,CA-055,38.628,-122.289,10,2013,Napa
2013-10-CA-059-40,40,CA-059,33.7655,-117.6649,10,2013,Orange
2013-10-CA-073-2236,2236,CA-073,33.341,-117.3092,10,2013,San Diego
2013-10-CA-097-159,159,CA-097,38.34599,-122.6503,10,2013,Sonoma
2013-11-CA-033-120,120,CA-033,38.882214,-122.567525,11,2013,Lake
2013-11-CA-033-23,23,CA-033,38.9289,-122.5818,11,2013,Lake
2013-11-CA-033-50,50,CA-033,39.0448,-122.7656,11,2013,Lake
2013-11-CA-045-82,82,CA-045,39.0442,-123.1478,11,2013,Mendocino
2013-11-CA-055-190,190,CA-055,38.382,-122.311,11,2013,Napa
2013-11-CA-079-51,51,CA-079,35.457978,-120.751555,11,2013,San Luis Obispo
2013-11-CA-089-33,33,CA-089,40.483662,-122.140914,11,2013,Shasta
2013-11-CA-097-3505,3505,CA-097,38.8167,-122.8498,11,2013,Sonoma
2013-11-CA-111-64,64,CA-111,34.384,-119.13249,11,2013,Ventura
2013-11-CA-113-163,163,CA-113,38.67479,-122.08725,11,2013,Yolo
2013-12-CA-085-40,40,CA-085,37.342186,-121.717706,12,2013,Santa Clara
2013-2-CA-027-406,406,CA-027,36.602575,-118.01651,2,2013,Inyo
2013-4-CA-039-274,274,CA-039,37.116295,-119.635004,4,2013,Madera
2013-4-CA-055-75,75,CA-055,38.441792,-122.350844,4,2013,Napa
2013-4-CA-071-30,30,CA-071,34.288877,-116.941311,4,2013,San Bernardino
2013-5-CA-021-217,217,CA-021,39.514139,-122.560862,5,2013,Glenn
2013-5-CA-029-4346,4346,CA-029,34.7861,-118.9411,5,2013,Kern
2013-5-CA-037-149,149,CA-037,34.419284,-118.58688,5,2013,Los Angeles
2013-5-CA-037-30274,30274,CA-037,34.585595,-118.423176,5,2013,Los Angeles
2013-5-CA-037-712,712,CA-037,34.49149,-118.610044,5,2013,Los Angeles
2013-5-CA-039-91,91,CA-039,37.1927,-119.7917,5,2013,Madera
2013-5-CA-065-124,124,CA-065,33.963591,-117.187934,5,2013,Riverside
2013-5-CA-065-25,25,CA-065,33.96201,-116.907213,5,2013,Riverside
2013-5-CA-065-3166,3166,CA-065,34.288877,-116.941311,5,2013,Riverside
2013-5-CA-065-40,40,CA-065,33.655638,-116.161201,5,2013,Riverside
2013-5-CA-065-510,510,CA-065,33.894055,-116.855019,5,2013,Riverside
2013-5-CA-065-90,90,CA-065,33.9582,-116.6534,5,2013,Riverside
2013-5-CA-069-354,354,CA-069,37.160346,-120.937494,5,2013,San Benito
2013-5-CA-071-75,75,CA-071,34.1834,-117.4408,5,2013,San Bernardino
2013-5-CA-073-100,100,CA-073,32.564465,-116.900368,5,2013,San Diego
2013-5-CA-073-1271,1271,CA-073,33.04458,-116.5209,5,2013,San Diego
2013-5-CA-073-2781,2781,CA-073,33.12111,-116.52579,5,2013,San Diego
2013-5-CA-077-303,303,CA-077,38.04993,-120.90325,5,2013,San Joaquin
2013-5-CA-079-35,35,CA-079,35.49864,-120.91375,5,2013,San Luis Obispo
2013-5-CA-079-50,50,CA-079,35.5123,-120.6368,5,2013,San Luis Obispo
2013-5-CA-083-170,170,CA-083,34.611824,-120.074655,5,2013,Santa Barbara
2013-5-CA-083-1984,1984,CA-083,34.55048,-119.82429,5,2013,Santa Barbara
2013-5-CA-097-125,125,CA-097,38.638828,-122.655616,5,2013,Sonoma
2013-5-CA-103-6965,6965,CA-103,40.190062,-121.595555,5,2013,Tehama
2013-5-CA-111-4346,4346,CA-111,34.7861,-118.9411,5,2013,Ventura
2013-6-CA-001-240,240,CA-001,37.775057,-121.737213,6,2013,Alameda
2013-6-CA-005-96,96,CA-005,38.27783,-120.966016,6,2013,Amador
2013-6-CA-007-298,298,CA-007,39.434183,-121.576804,6,2013,Butte
2013-6-CA-011-28,28,CA-011,38.4229,-122.0437,6,2013,Colusa
2013-6-CA-019-108,108,CA-019,36.772425,-119.628389,6,2013,Fresno
2013-6-CA-019-150,150,CA-019,36.7218,-119.2248,6,2013,Fresno
2013-6-CA-019-35,35,CA-019,36.763367,-119.558244,6,2013,Fresno
2013-6-CA-019-46,46,CA-019,37.03087,-119.463757,6,2013,Fresno
2013-6-CA-033-25,25,CA-033,38.98058,-122.81796,6,2013,Lake
2013-6-CA-033-28,28,CA-033,38.4229,-122.0437,6,2013,Lake
2013-6-CA-033-30,30,CA-033,38.99233,-122.703193,6,2013,Lake
2013-6-CA-039-482,482,CA-039,37.015575,-119.78106,6,2013,Madera
2013-6-CA-039-75,75,CA-039,37.169379,-119.75636,6,2013,Madera
2013-6-CA-043-1708,1708,CA-043,37.58202,-119.91071,6,2013,Mariposa
2013-6-CA-047-124,124,CA-047,37.03776,-121.006939,6,2013,Merced
2013-6-CA-053-105,105,CA-053,36.1531,-120.8973,6,2013,Monterey
2013-6-CA-061-237,237,CA-061,38.729297,-121.380862,6,2013,Placer
2013-6-CA-065-0,0,CA-065,33.99647,-116.84137,6,2013,Riverside
2013-6-CA-065-40,40,CA-065,34.001745,-117.302057,6,2013,Riverside
2013-6-CA-065-42,42,CA-065,33.96936,-117.1265,6,2013,Riverside
2013-6-CA-071-534,534,CA-071,34.071556,-117.048397,6,2013,San Bernardino
2013-6-CA-079-500,500,CA-079,35.15832,-120.05131,6,2013,San Luis Obispo
2013-6-CA-095-124,124,CA-095,38.08744,-122.13802,6,2013,Solano
2013-6-CA-095-28,28,CA-095,38.4229,-122.0437,6,2013,Solano
2013-6-CA-097-28,28,CA-097,38.4229,-122.0437,6,2013,Sonoma
2013-6-CA-109-100,100,CA-109,37.91529,-120.33313,6,2013,Tuolumne
2013-7-CA-001-38,38,CA-001,37.74241,-121.86216,7,2013,Alameda
2013-7-CA-001-50,50,CA-001,37.7393,-121.5869,7,2013,Alameda
2013-7-CA-009-31,31,CA-009,37.965364,-120.696362,7,2013,Calaveras
2013-7-CA-013-274,274,CA-013,39.90465,-121.74367,7,2013,Contra Costa
2013-7-CA-013-492,492,CA-013,37.96866,-121.91453,7,2013,Contra Costa
2013-7-CA-017-163,163,CA-017,38.63987,-121.08438,7,2013,El Dorado
2013-7-CA-017-572,572,CA-017,38.774,-120.298,7,2013,El Dorado
2013-7-CA-019-22992,22992,CA-019,37.279,-119.318,7,2013,Fresno
2013-7-CA-029-612,612,CA-029,34.90327,-118.93388,7,2013,Kern
2013-7-CA-029-712,712,CA-029,34.882,-118.9194,7,2013,Kern
2013-7-CA-045-45,45,CA-045,38.980846,-123.067671,7,2013,Mendocino
2013-7-CA-049-502,502,CA-049,41.2415,-121.035,7,2013,Modoc
2013-7-CA-065-15,15,CA-065,33.94528,-117.09306,7,2013,Riverside
2013-7-CA-065-150,150,CA-065,33.990128,-117.164997,7,2013,Riverside
2013-7-CA-065-27531,27531,CA-065,33.7095,-116.72885,7,2013,Riverside
2013-7-CA-065-40,40,CA-065,33.9634,-117.2508,7,2013,Riverside
2013-7-CA-067-163,163,CA-067,38.63987,-121.08438,7,2013,Sacramento
2013-7-CA-071-75,75,CA-071,34.316,-117.352,7,2013,San Bernardino
2013-7-CA-073-25,25,CA-073,32.612773,-116.707335,7,2013,San Diego
2013-7-CA-073-7055,7055,CA-073,32.95435,-116.47381,7,2013,San Diego
2013-7-CA-079-85,85,CA-079,35.62743,-120.83417,7,2013,San Luis Obispo
2013-7-CA-085-50,50,CA-085,37.1438,-121.7804,7,2013,Santa Clara
2013-7-CA-089-43,43,CA-089,40.373,-122.7338,7,2013,Shasta
2013-7-CA-093-14754,14754,CA-093,41.32,-123.176,7,2013,Siskiyou
2013-7-CA-097-158,158,CA-097,38.17693,-122.51253,7,2013,Sonoma
2013-7-CA-099-150,150,CA-099,37.436,-121.1955,7,2013,Stanislaus
2013-7-CA-103-195,195,CA-103,39.961309,-122.330879,7,2013,Tehama
2013-7-CA-103-200,200,CA-103,40.012398,-122.079871,7,2013,Tehama
2013-7-CA-115-73,73,CA-115,39.206,-121.31634,7,2013,Yuba
2013-8-CA-007-2462,2462,CA-007,39.446268,-121.38236,8,2013,Butte
2013-8-CA-007-80,80,CA-007,39.731878,-121.713938,8,2013,Butte
2013-8-CA-007-92,92,CA-007,39.6612,-121.50354,8,2013,Butte
2013-8-CA-009-46,46,CA-009,38.06231,-120.45233,8,2013,Calaveras
2013-8-CA-017-116,116,CA-017,38.682378,-120.839075,8,2013,El Dorado
2013-8-CA-017-38,38,CA-017,38.89555,-120.84716,8,2013,El Dorado
2013-8-CA-023-0,0,CA-023,41.333,-123.376,8,2013,Humboldt
2013-8-CA-023-12503,12503,CA-023,41.035,-123.488,8,2013,Humboldt
2013-8-CA-029-794,794,CA-029,35.707,-118.588,8,2013,Kern
2013-8-CA-033-38,38,CA-033,39.1591,-122.5906,8,2013,Lake
2013-8-CA-033-70,70,CA-033,39.013682,-122.491894,8,2013,Lake
2013-8-CA-035-97,97,CA-035,40.88886,-120.958126,8,2013,Lassen
2013-8-CA-057-52,52,CA-057,39.333401,-121.107022,8,2013,Nevada
2013-8-CA-061-27440,27440,CA-061,39.12,-120.65,8,2013,Placer
2013-8-CA-063-513,513,CA-063,40.00842,-120.764666,8,2013,Plumas
2013-8-CA-065-1383,1383,CA-065,33.62236,-117.40288,8,2013,Riverside
2013-8-CA-065-20292,20292,CA-065,33.86157,-116.90427,8,2013,Riverside
2013-8-CA-065-40,40,CA-065,33.570291,-116.10815,8,2013,Riverside
2013-8-CA-065-60,60,CA-065,33.91027,-116.99895,8,2013,Riverside
2013-8-CA-071-110,110,CA-071,34.287,-117.451,8,2013,San Bernardino
2013-8-CA-071-243,243,CA-071,34.35,-117.62,8,2013,San Bernardino
2013-8-CA-071-413,413,CA-071,34.302,-117.598,8,2013,San Bernardino
2013-8-CA-071-97,97,CA-071,33.642,-116.706,8,2013,San Bernardino
2013-8-CA-089-196,196,CA-089,40.5445,-121.3754,8,2013,Shasta
2013-8-CA-089-27,27,CA-089,40.473356,-122.48259,8,2013,Shasta
2013-8-CA-093-50,50,CA-093,41.923323,-122.578393,8,2013,Siskiyou
2013-8-CA-103-11429,11429,CA-103,40.04263,-121.85397,8,2013,Tehama
2013-8-CA-107-2060,2060,CA-107,36.208,-118.444,8,2013,Tulare
2013-8-CA-109-1070,1070,CA-109,38.25108,-120.02778,8,2013,Tuolumne
2013-8-CA-109-257314,257314,CA-109,37.857,-120.086,8,2013,Tuolumne
2013-9-CA-013-3111,3111,CA-013,37.90757,-121.882582,9,2013,Contra Costa
2013-9-CA-033-30,30,CA-033,38.9777,-122.683,9,2013,Lake
2013-9-CA-037-268,268,CA-037,34.149,-117.908,9,2013,Los Angeles
2013-9-CA-045-98,98,CA-045,38.9252,-122.966,9,2013,Mendocino
2013-9-CA-049-68,68,CA-049,41.569,-120.959,9,2013,Modoc
2013-9-CA-049-97,97,CA-049,41.73325,-120.375,9,2013,Modoc
2013-9-CA-071-200,200,CA-071,34.2,-117.417,9,2013,San Bernardino
2013-9-CA-071-73,73,CA-071,34.003151,-117.106075,9,2013,San Bernardino
2013-9-CA-073-263,263,CA-073,32.710918,-116.746023,9,2013,San Diego
2013-9-CA-079-94,94,CA-079,35.4393,-120.8358,9,2013,San Luis Obispo
2013-9-CA-081-41,41,CA-081,37.667295,-122.427285,9,2013,San Mateo
2013-9-CA-089-8073,8073,CA-089,40.498332,-122.535496,9,2013,Shasta
2013-9-CA-107-134,134,CA-107,36.258,-118.459,9,2013,Tulare
2014-10-CA-043-311,311,CA-043,37,40.34,10,2014,Mariposa
2014-10-CA-071-48,48,CA-071,33.93869,-117.70643,10,2014,San Bernardino
2014-1-CA-019-106,106,CA-019,36.8266,-119.3415,1,2014,Fresno
2014-1-CA-023-333,333,CA-023,40.884415,-123.773779,1,2014,Humboldt
2014-1-CA-037-1952,1952,CA-037,34.1703,-117.8816,1,2014,Los Angeles
2014-1-CA-103-865,865,CA-103,40.134597,-121.790183,1,2014,Tehama
2014-3-CA-053-400,400,CA-053,36.6313,-121.4819,3,2014,Monterey
2014-3-CA-065-57,57,CA-065,33.5982,-116.1985,3,2014,Riverside
2014-3-CA-073-125,125,CA-073,32.81,-116.49,3,2014,San Diego
2014-4-CA-027-113,113,CA-027,37.399,-118.352,4,2014,Inyo
2014-4-CA-053-75,75,CA-053,36.103,-121.117,4,2014,Monterey
2014-4-CA-071-2143,2143,CA-071,34.169346,-117.547374,4,2014,San Bernardino
2014-5-CA-033-175,175,CA-033,39.1647,-122.5983,5,2014,Lake
2014-5-CA-073-1457,1457,CA-073,33.417572,-117.550567,5,2014,San Diego
2014-5-CA-073-1548,1548,CA-073,33.003,-117.133,5,2014,San Diego
2014-5-CA-073-1995,1995,CA-073,33.1137,-117.1599,5,2014,San Diego
2014-5-CA-073-29,29,CA-073,32.665,-116.222,5,2014,San Diego
2014-5-CA-073-380,380,CA-073,33.312,-117.162,5,2014,San Diego
2014-5-CA-073-5367,5367,CA-073,33.3529,-117.284889,5,2014,San Diego
2014-5-CA-073-600,600,CA-073,33.1109,-117.279,5,2014,San Diego
2014-5-CA-083-632,632,CA-083,34.609,-120.454,5,2014,Santa Barbara
2014-5-CA-089-50,50,CA-089,40.39,-122.721,5,2014,Shasta
2014-6-CA-009-120,120,CA-009,120.679019,38.178241,6,2014,Calaveras
2014-6-CA-009-85,85,CA-009,38.058,-120.66,6,2014,Calaveras
2014-6-CA-019-25,25,CA-019,36.742747,-119.241493,6,2014,Fresno
2014-6-CA-019-40,40,CA-019,36.991825,-119.525506,6,2014,Fresno
2014-6-CA-029-3895,3895,CA-029,35.70683,-118.555527,6,2014,Kern
2014-6-CA-043-130,130,CA-043,37.7103,-120.197,6,2014,Mariposa
2014-6-CA-095-70,70,CA-095,121.999,38.453,6,2014,Solano
2014-6-CA-103-225,225,CA-103,40.009827,-122.345078,6,2014,Tehama
2014-6-CA-109-269,269,CA-109,37.787,-120.452,6,2014,Tuolumne
2014-6-CA-109-487,487,CA-109,37.76617,-120.45087,6,2014,Tuolumne
2014-7-CA-005-4240,4240,CA-005,38.5691,-120.7819,7,2014,Amador
2014-7-CA-007-72,72,CA-007,39.4664,-121.6129,7,2014,Butte
2014-7-CA-013-80,80,CA-013,37.5359,-121.5118,7,2014,Contra Costa
2014-7-CA-017-30,30,CA-017,38.608336,-120.703238,7,2014,El Dorado
2014-7-CA-017-4240,4240,CA-017,38.5691,-120.7819,7,2014,El Dorado
2014-7-CA-029-1680,1680,CA-029,35.642,-118.15,7,2014,Kern
2014-7-CA-033-4300,4300,CA-033,38.664,-122.454,7,2014,Lake
2014-7-CA-049-13153,13153,CA-049,41.1336,-121.2144,7,2014,Modoc
2014-7-CA-049-1469,1469,CA-049,41.489,-120.904,7,2014,Modoc
2014-7-CA-049-1651,1651,CA-049,41.89,-120.79,7,2014,Modoc
2014-7-CA-055-4300,4300,CA-055,38.664,-122.454,7,2014,Napa
2014-7-CA-057-38,38,CA-057,39.1871,-121.2687,7,2014,Nevada
2014-7-CA-073-217,217,CA-073,33.078948,-116.576454,7,2014,San Diego
2014-7-CA-079-47,47,CA-079,35.8218,-121.0226,7,2014,San Luis Obispo
2014-7-CA-089-12661,12661,CA-089,40.4314,-122.750788,7,2014,Shasta
2014-7-CA-089-143,143,CA-089,40.6569,-122.2215,7,2014,Shasta
2014-7-CA-089-32416,32416,CA-089,40.72,-121.562,7,2014,Shasta
2014-7-CA-089-39736,39736,CA-089,40.901,-121.368,7,2014,Shasta
2014-7-CA-089-6258,6258,CA-089,41.141,-122.805,7,2014,Shasta
2014-7-CA-089-75,75,CA-089,40.5719,-121.3415,7,2014,Shasta
2014-7-CA-093-35302,35302,CA-093,42.048,-122.345,7,2014,Siskiyou
2014-7-CA-093-5503,5503,CA-093,41.682,-122.127,7,2014,Siskiyou
2014-7-CA-105-15,15,CA-105,40.41,-123.24,7,2014,Trinity
2014-7-CA-113-6488,6488,CA-113,38.512,-122.104,7,2014,Yolo
2014-8-CA-029-4045,4045,CA-029,35.7206,-118.4747,8,2014,Kern
2014-8-CA-037-190,190,CA-037,34.235,-117.771,8,2014,Los Angeles
2014-8-CA-037-274,274,CA-037,34.267,-117.867,8,2014,Los Angeles
2014-8-CA-039-10,10,CA-039,37,18.4,8,2014,Madera
2014-8-CA-039-612,612,CA-039,37.3433,-119.6581,8,2014,Madera
2014-8-CA-049-101,101,CA-049,41.507,-121.266,8,2014,Modoc
2014-8-CA-057-84,84,CA-057,39.3918,-120.0805,8,2014,Nevada
2014-8-CA-073-20,20,CA-073,32.59154,-116.89516,8,2014,San Diego
2014-8-CA-089-25,25,CA-089,40,29.24,8,2014,Shasta
2014-8-CA-093-0,0,CA-093,41.796,-123.374,8,2014,Siskiyou
2014-8-CA-105-580,580,CA-105,40.7412,-122.946,8,2014,Trinity
2014-9-CA-017-20,20,CA-017,38.9195001,-120.1140659,9,2014,El Dorado
2014-9-CA-017-94,94,CA-017,38.59,-120.028,9,2014,El Dorado
2014-9-CA-017-97717,97717,CA-017,38.805437,-120.629714,9,2014,El Dorado
2014-9-CA-023-210,210,CA-023,41.134,-123.753,9,2014,Humboldt
2014-9-CA-039-320,320,CA-039,37.311915,-119.604124,9,2014,Madera
2014-9-CA-055-27,27,CA-055,38.695961,-122.384054,9,2014,Napa
2014-9-CA-057-247,247,CA-057,39.113682,-120.999508,9,2014,Nevada
2014-9-CA-059-968,968,CA-059,33.748,-117.601,9,2014,Orange
2014-9-CA-089-1375,1375,CA-089,40.7101,-122.171,9,2014,Shasta
2014-9-CA-093-516,516,CA-093,41.42384,-122.37432,9,2014,Siskiyou
2014-9-CA-109-70,70,CA-109,37.8316,-120.3434,9,2014,Tuolumne
2015-10-CA-007-104,104,CA-007,39.8707,-121.8938,10,2015,Butte
2015-10-CA-069-670,670,CA-069,36.70854,-121.32734,10,2015,San Benito
2015-10-CA-083-21,21,CA-083,34.4828,-119.63216,10,2015,Santa Barbara
2015-11-CA-111-50,50,CA-111,34.15,-118.879444,11,2015,Ventura
2015-2-CA-093-200,200,CA-093,41.485,-121.851,2,2015,Siskiyou
2015-4-CA-063-137,137,CA-063,40.05083333,-120.7016667,4,2015,Plumas
2015-4-CA-065-1049,1049,CA-065,33.884313,-117.642759,4,2015,Riverside
2015-5-CA-047-275,275,CA-047,37.08312,-121.06963,5,2015,Merced
2015-6-CA-003-0,0,CA-003,38.598056,-119.751944,6,2015,Alpine
2015-6-CA-005-60,60,CA-005,38.260777,-121.135426,6,2015,Amador
2015-6-CA-023-20,20,CA-023,41.1513,-123.8292,6,2015,Humboldt
2015-6-CA-029-67,67,CA-029,35.77937,-120.19482,6,2015,Kern
2015-6-CA-035-60,60,CA-035,40.875667,-121.033667,6,2015,Lassen
2015-6-CA-037-415,415,CA-037,34.361007,-118.535793,6,2015,Los Angeles
2015-6-CA-039-135,135,CA-039,37.072561,-119.6958,6,2015,Madera
2015-6-CA-039-920,920,CA-039,37.165767,-119.523943,6,2015,Madera
2015-6-CA-045-35,35,CA-045,39.7806004,-123.248214,6,2015,Mendocino
2015-6-CA-055-19,19,CA-055,38.519132,-122.181878,6,2015,Napa
2015-6-CA-055-38,38,CA-055,38.5287,-122.3415,6,2015,Napa
2015-6-CA-071-100,100,CA-071,34.165974,-117.243878,6,2015,San Bernardino
2015-6-CA-071-31359,31359,CA-071,34.16027778,-116.8927778,6,2015,San Bernardino
2015-6-CA-073-171,171,CA-073,32.9421,-116.8534,6,2015,San Diego
2015-6-CA-073-80,80,CA-073,32.6449163,-116.9454387,6,2015,San Diego
2015-6-CA-103-55,55,CA-103,40.0133,-122.552,6,2015,Tehama
2015-6-CA-105-1542,1542,CA-105,40.924,-123.168,6,2015,Trinity
2015-6-CA-115-158,158,CA-115,39.2688,-121.26471,6,2015,Yuba
2015-7-CA-007-400,400,CA-007,39.43963,-121.38794,7,2015,Butte
2015-7-CA-013-195,195,CA-013,37.81629,-121.68113,7,2015,Contra Costa
2015-7-CA-017-75,75,CA-017,38.776,-120.404,7,2015,El Dorado
2015-7-CA-019-151623,151623,CA-019,36.874,-118.905,7,2015,Fresno
2015-7-CA-023-158,158,CA-023,41.295667,-123.784067,7,2015,Humboldt
2015-7-CA-023-16,16,CA-023,40.1093,-123.774,7,2015,Humboldt
2015-7-CA-033-69438,69438,CA-033,38.8863538,-122.4762475,7,2015,Lake
2015-7-CA-037-200,200,CA-037,34.367,-117.683,7,2015,Los Angeles
2015-7-CA-039-5702,5702,CA-039,37.279722,-119.50014,7,2015,Madera
2015-7-CA-045-23,23,CA-045,39.0263,-123.303,7,2015,Mendocino
2015-7-CA-045-50,50,CA-045,39.43301,-123.36316,7,2015,Mendocino
