UniqueID,MeasurementID,AcresBurned,Latitude,Longitude,Month,Year,LocationID,Location,Rainfall,MinTemp,MaxTemp,AvgTemp
2013-7-CA-001-38,2013-CA-001,38,37.74241,-121.86216,7,2013,CA-001,Alameda,5.08,48.2,70.8,59.5
2013-6-CA-001-240,2013-CA-001,240,37.775057,-121.737213,6,2013,CA-001,Alameda,5.08,48.2,70.8,59.5
2013-7-CA-001-50,2013-CA-001,50,37.7393,-121.5869,7,2013,CA-001,Alameda,5.08,48.2,70.8,59.5
2013-6-CA-005-96,2013-CA-005,96,38.27783,-120.966016,6,2013,CA-005,Amador,12.25,46.2,72.1,59.1
2013-10-CA-007-305,2013-CA-007,305,39.439,-121.497,10,2013,CA-007,Butte,12.19,46.8,74.1,60.4
2013-8-CA-007-92,2013-CA-007,92,39.6612,-121.50354,8,2013,CA-007,Butte,12.19,46.8,74.1,60.4
2013-8-CA-007-80,2013-CA-007,80,39.731878,-121.713938,8,2013,CA-007,Butte,12.19,46.8,74.1,60.4
2013-8-CA-007-2462,2013-CA-007,2462,39.446268,-121.38236,8,2013,CA-007,Butte,12.19,46.8,74.1,60.4
2013-6-CA-007-298,2013-CA-007,298,39.434183,-121.576804,6,2013,CA-007,Butte,12.19,46.8,74.1,60.4
2013-7-CA-009-31,2013-CA-009,31,37.965364,-120.696362,7,2013,CA-009,Calaveras,11.14,45.9,72.7,59.3
2013-8-CA-009-46,2013-CA-009,46,38.06231,-120.45233,8,2013,CA-009,Calaveras,11.14,45.9,72.7,59.3
2013-6-CA-011-28,2013-CA-011,28,38.4229,-122.0437,6,2013,CA-011,Colusa,8.22,47.5,76.7,62.1
2013-7-CA-013-274,2013-CA-013,274,39.90465,-121.74367,7,2013,CA-013,Contra Costa,5.27,48.9,72.5,60.7
2013-9-CA-013-3111,2013-CA-013,3111,37.90757,-121.882582,9,2013,CA-013,Contra Costa,5.27,48.9,72.5,60.7
2013-7-CA-013-492,2013-CA-013,492,37.96866,-121.91453,7,2013,CA-013,Contra Costa,5.27,48.9,72.5,60.7
2013-8-CA-017-116,2013-CA-017,116,38.682378,-120.839075,8,2013,CA-017,El Dorado,16.06,42.7,67.2,54.9
2013-7-CA-017-572,2013-CA-017,572,38.774,-120.298,7,2013,CA-017,El Dorado,16.06,42.7,67.2,54.9
2013-8-CA-017-38,2013-CA-017,38,38.89555,-120.84716,8,2013,CA-017,El Dorado,16.06,42.7,67.2,54.9
2013-7-CA-017-163,2013-CA-017,163,38.63987,-121.08438,7,2013,CA-017,El Dorado,16.06,42.7,67.2,54.9
2013-6-CA-019-46,2013-CA-019,46,37.03087,-119.463757,6,2013,CA-019,Fresno,5.29,43.4,70.1,56.7
2013-7-CA-019-22992,2013-CA-019,22992,37.279,-119.318,7,2013,CA-019,Fresno,5.29,43.4,70.1,56.7
2013-6-CA-019-35,2013-CA-019,35,36.763367,-119.558244,6,2013,CA-019,Fresno,5.29,43.4,70.1,56.7
2013-6-CA-019-150,2013-CA-019,150,36.7218,-119.2248,6,2013,CA-019,Fresno,5.29,43.4,70.1,56.7
